portfolio_id,return
PF00001001,0.1214383989572525
PF00001004,0.08763556182384491
PF00001009,0.12220336496829987
PF00001013,0.1254456788301468
PF00001014,0.12196667492389679
PF00001015,0.13025464117527008
PF00001017,0.12206579744815826
PF00001023,0.12224854528903961
PF00001024,0.12561489641666412
PF00001025,0.11110962927341461
PF00001028,0.12145151197910309
PF00001032,0.12218733131885529
PF00001036,0.12214560806751251
PF00001041,0.12048472464084625
PF00001045,0.08764190971851349
PF00001047,0.12221722304821014
PF00001049,0.1222032755613327
PF00001053,0.11136151850223541
PF00001060,0.12221892178058624
PF00001067,0.12198390066623688
PF00001068,0.12131406366825104
PF00001069,0.12072314321994781
PF00001077,0.12208379805088043
PF00001078,0.1213851124048233
PF00001085,0.08783869445323944
PF00001086,0.11000420153141022
PF00001087,0.12162114679813385
PF00001088,0.12201614677906036
PF00001092,0.12193311750888824
PF00001095,0.08759818971157074
PF00001099,0.11997641623020172
PF00001100,0.12083949148654938
PF00001104,0.12222103774547577
PF00001105,0.12233276665210724
PF00001107,0.12220121920108795
PF00001108,0.11058534681797028
PF00001112,0.12199045717716217
PF00001119,0.0874347984790802
PF00001123,0.08736379444599152
PF00001126,0.12224681675434113
PF00001132,0.11761082708835602
PF00001135,0.1219296008348465
PF00001145,0.0874689519405365
PF00001148,0.12017835676670074
PF00001153,0.08811710774898529
PF00001155,0.10945500433444977
PF00001161,0.12219540774822235
PF00001164,0.08795802295207977
PF00001165,0.08765091001987457
PF00001171,0.10719892382621765
PF00001178,0.12164844572544098
PF00001179,0.004349030554294586
PF00001180,0.10728088021278381
PF00001194,0.12217630445957184
PF00001199,0.1204604059457779
PF00001198,0.12247423827648163
PF00001203,0.12225718796253204
PF00001204,0.08746026456356049
PF00001209,0.10704503953456879
PF00001210,0.08780930936336517
PF00001218,0.1217273622751236
PF00001220,0.12133444845676422
PF00001223,0.12155093252658844
PF00001225,0.08771495521068573
PF00001227,0.12208093702793121
PF00001230,0.10709045827388763
PF00001233,0.12196971476078033
PF00001236,0.12200774252414703
PF00001238,0.12178196012973785
PF00001239,0.10740354657173157
PF00001241,0.10723775625228882
PF00001243,0.08803389966487885
PF00001244,0.1223606988787651
PF00001245,0.11012305319309235
PF00001253,0.12136878073215485
PF00001255,0.087453693151474
PF00001258,0.12235064804553986
PF00001260,0.12143899500370026
PF00001262,0.12195958197116852
PF00001264,0.12225495278835297
PF00001265,0.12200595438480377
PF00001270,0.11117734014987946
PF00001274,0.12218822538852692
PF00001277,0.12191404402256012
PF00001282,0.1213914304971695
PF00001283,0.08781656622886658
PF00001285,0.12086834013462067
PF00001288,0.1184779554605484
PF00001290,0.08788298070430756
PF00001294,0.12199117243289948
PF00001296,0.11957205832004547
PF00001303,0.08789496123790741
PF00001305,0.1209186464548111
PF00001306,0.12212695181369781
PF00001309,0.12658800184726715
PF00001310,0.12228332459926605
PF00001312,0.12195874750614166
PF00001313,0.10754704475402832
PF00001316,0.12223441898822784
PF00001319,0.12220771610736847
PF00001324,0.1222337931394577
PF00001325,0.12074650824069977
PF00001331,0.12232573330402374
PF00001333,0.10734080523252487
PF00001334,0.12196750938892365
PF00001335,0.08772657811641693
PF00001340,0.12007416784763336
PF00001345,0.08763353526592255
PF00001348,0.1070161759853363
PF00001352,0.12179411947727203
PF00001354,0.12103427946567535
PF00001355,0.06615753471851349
PF00001356,0.06602093577384949
PF00001368,0.12234266102313995
PF00001370,0.13751114904880524
PF00001372,0.12179102003574371
PF00001375,0.12216900289058685
PF00001382,0.08757130801677704
PF00001384,0.12172867357730865
PF00001388,0.12192226946353912
PF00001389,0.12202788889408112
PF00001391,0.1215670257806778
PF00001412,0.09795151650905609
PF00001419,0.11100365221500397
PF00001424,0.1214827448129654
PF00001427,0.12243165075778961
PF00001428,0.12181688845157623
PF00001430,0.12235929071903229
PF00001432,0.09655033051967621
PF00001433,0.12242938578128815
PF00001438,0.12219120562076569
PF00001440,0.0661168023943901
PF00001441,0.12224473059177399
PF00001446,0.1221047192811966
PF00001450,0.12235499918460846
PF00001453,0.09513126313686371
PF00001456,0.12194360792636871
PF00001458,0.1217438131570816
PF00001463,0.10717485100030899
PF00001464,0.12768496572971344
PF00001471,0.10718023777008057
PF00001473,0.12236729264259338
PF00001474,0.1091700941324234
